WDPA_PID,IUCN9,Realm,GIS-Area_Category,Acrop-aMER,Acrop-aPTS,Rcrop-aMER,Rcrop-aPTS
126438_A,Ia,Australasia,40~50,1AC~1M,1AC~1P,1RC~1M,1RC~1P
125996_A,Ia,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313661_A,IV,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
301948_A,Ia,Nearctic,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
314988_B,Ia,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
565_A,II,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555671282,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555672140,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
18167_A,VI,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
357649_B,VI,Australasia,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
126651_A,Ia,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313781_C,Ia,Australasia,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313753_A,Ia,Australasia,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
64122_A,II,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555621563_B,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313781_A,Ia,Australasia,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575311_A,V,Palearctic,20~30,2AC~1M,2AC~1P,1RC~1M,1RC~1P
23282_A,III,Nearctic,30~40,1AC~1M,1AC~1P,1RC~1M,1RC~1P
23282_B,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
313771_A,Ia,Australasia,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575482_A,V,Palearctic,100~1000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
566_A,II,Australasia,100~1000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555613377,V,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555515564_B,III,Nearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
301948_B,VI,Nearctic,100~1000,3AC~1M,3AC~1P,1RC~1M,1RC~1P
5555731,IV,Nearctic,20~30,3AC~1M,3AC~1P,1RC~1M,1RC~1P
63879_A,Ia,Australasia,100~1000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
63712_A,Ia,Australasia,40~50,1AC~1M,1AC~1P,1RC~1M,1RC~1P
23291_D,III,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
63856_B,Ia,Australasia,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555662998,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
18186_B,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
67117_A,IV,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555575460_B,V,Palearctic,50~100,2AC~1M,2AC~1P,1RC~1M,1RC~1P
55551508,V,0,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555575460_A,V,Palearctic,50~100,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555575241_B,V,Palearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313753_B,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
23291_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555515586_A,IV,Nearctic,10~20,2AC~1M,2AC~1P,2RC~1M,2RC~1P
55559242,V,Nearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555575241_A,V,Palearctic,40~50,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555621565_B,II,Nearctic,40~50,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313781_E,Ia,Australasia,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
71022_A,Ia,Neotropic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
20063_B,VI,Neotropic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555556240,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
565_C,II,Australasia,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
67130_B,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555603859,V,Nearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555637706_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
18162_B,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
313760_A,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
16894_B,No Category,Neotropic,1000~10000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
23285_A,II,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555515584_A,IV,Nearctic,10~20,2AC~1M,2AC~1P,2RC~1M,2RC~1P
93538_A,Ib,Palearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
25919_A,II,Australasia,10~20,1AC~1M,1AC~1P,2RC~1M,2RC~1P
629_A,II,Nearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
23291_C,IV,Nearctic,10~20,3AC~1M,3AC~1P,2RC~1M,2RC~1P
95323,No Category,Nearctic,50~100,3AC~1M,3AC~1P,2RC~1M,2RC~1P
63562_B,Ia,Australasia,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
632_A,II,Nearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555604066,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555637706_C,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555575482_B,V,Palearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555705344_A,VI,Afrotropic,>10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
93538_B,Ib,Palearctic,1000~10000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
570_A,II,Australasia,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555637931_C,III,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555637856_Y,VI,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555581655,V,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
23290_A,IV,Nearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
167051_B,VI,Neotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555515560_C,III,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
103166_B,VI,Nearctic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555637856_E,VI,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
18133_A,II,0,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
166969_B,VI,Neotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
67584,II,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555557371,IV,Nearctic,50~100,3AC~1M,3AC~1P,3RC~1M,3RC~1P
101414_A,Ia,Neotropic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
761_A,II,Afrotropic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
71022_B,VI,Neotropic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555613816,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555609609,V,Nearctic,10~20,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555654083,V,Nearctic,10~20,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555672695,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
4168_B,III,Nearctic,50~100,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555656061,V,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555564962,III,Australasia,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
23282_C,IV,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
67130_A,IV,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
308903_B,IV,Australasia,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
801_A,II,Afrotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
4170_B,II,Nearctic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555670131,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
313660_A,IV,Australasia,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555705202_A,II,Afrotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
4170_A,II,Nearctic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
101414_B,VI,Neotropic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555609607,V,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
124309_B,Ib,Palearctic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
306780_B,VI,Neotropic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
126024_B,Ia,Australasia,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
306844_B,VI,Neotropic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
301929_A,Ia,Neotropic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555614068,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555556247,V,Nearctic,20~30,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111336,VI,Nearctic,20~30,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555666075,IV,Nearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
11111184,Ib,Nearctic,1000~10000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555666073,IV,Nearctic,30~40,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555671991,V,Nearctic,50~100,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555614111,V,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
1037,V,Nearctic,30~40,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555665360,Ib,Nearctic,1000~10000,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555585866,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555652005,V,Nearctic,30~40,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555671946,V,Nearctic,10~20,1AC~1M,1AC~1P,2RC~1M,2RC~1P
2888,IV,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
370352,V,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555586319,V,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111424,V,Nearctic,50~100,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555654080,V,Nearctic,10~20,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555614301,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555586335,V,Nearctic,30~40,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555556252,V,Nearctic,30~40,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555612532,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
11111231,Ib,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
374881,V,Nearctic,50~100,3AC~1M,3AC~1P,1RC~1M,1RC~1P
11112134,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555612428,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
2961,IV,Nearctic,50~100,3AC~1M,3AC~1P,2RC~1M,2RC~1P
11111894,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555586166,V,Nearctic,50~100,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555586326,V,Nearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
11111421,V,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
11111458,Ib,Nearctic,100~1000,1AC~1M,1AC~1P,3RC~1M,3RC~1P
11111901,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11112117,V,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111786,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111182,V,Nearctic,50~100,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555586322,V,Nearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
11111749,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555663498,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
11111736,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555586316,V,Nearctic,30~40,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555663460,V,Nearctic,<1,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555586333,V,Nearctic,50~100,3AC~1M,3AC~1P,2RC~1M,2RC~1P
11111971,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555670830,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
1111288,IV,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555656137,IV,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555704644,IV,Nearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555612843,V,Nearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555656059,IV,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
1111277,Ia,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
372060,Ib,Nearctic,100~1000,1AC~1M,1AC~1P,3RC~1M,3RC~1P
11111673,V,Nearctic,20~30,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555670701,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555606582,V,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111919,V,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555656484,V,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
23123,II,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
66592,II,Nearctic,50~100,2AC~1M,2AC~1P,2RC~1M,2RC~1P
312432,Ia,Nearctic,10~20,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555656477,V,Nearctic,10~20,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555603520,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555665311,V,Nearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
18148,Ia,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
11112110,V,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555567308,VI,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555614162,V,Nearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555586314,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555586414,III,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11112141,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555637779,IV,Nearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
67117,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555602527,V,Nearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555515545,III,Nearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555695854,No Category,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
67118,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
302433,Ia,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555716053,IV,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555705123,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
67124,IV,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555704793,IV,Nearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11112354,V,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555705087,Ib,0,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555556246,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
376241,IV,Nearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555556270,V,Nearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555666004,V,Nearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
11111321,IV,Nearctic,1000~10000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555586313,V,Nearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
372845,Ib,Nearctic,100~1000,1AC~1M,1AC~1P,2RC~1M,2RC~1P
11111264,Ib,Nearctic,100~1000,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555586328,V,Nearctic,10~20,2AC~1M,2AC~1P,3RC~1M,3RC~1P
76489,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555556251,V,Nearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555612667,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555651932,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555608266,V,Nearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
13896,IV,Nearctic,100~1000,3AC~1M,3AC~1P,2RC~1M,2RC~1P
11112090,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
1111126,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
11111996,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
1111122,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555586337,V,Nearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
11111288,Ib,Nearctic,50~100,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555610294,V,Nearctic,1000~10000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555665468,Ib,Nearctic,40~50,2AC~1M,2AC~1P,3RC~1M,3RC~1P
1111152,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111247,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
11111983,III,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
11111950,V,Nearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555613027,V,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555608367,V,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
18222,II,Nearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
1111133,Ib,Nearctic,100~1000,2AC~1M,2AC~1P,3RC~1M,3RC~1P
66460,II,Nearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555657257,V,Nearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
2870,IV,Nearctic,100~1000,2AC~1M,2AC~1P,1RC~1M,1RC~1P
23089,Ia,0,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
396325,V,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
555623592,No Category,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
66603,II,Nearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
555537996,No Category,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
4381,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
103409,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555567076,Ia,Nearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
152007,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555541329,No Category,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
153064,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
152424,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555719645,No Category,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
156435,Ia,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
10434,V,Palearctic,50~100,3AC~1M,3AC~1P,1RC~1M,1RC~1P
341623,IV,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
156022,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555719595,No Category,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
337439,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
349747,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
4794,VI,Palearctic,100~1000,3AC~1M,3AC~1P,3RC~1M,3RC~1P
396326,V,Palearctic,10~20,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555623593,No Category,Palearctic,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
151630,V,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
383914,No Category,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
135748,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
325266,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
325902,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
319591,V,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
323117,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
156468,Ia,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
322863,V,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
81842,IV,Palearctic,<1,2AC~1M,2AC~1P,2RC~1M,2RC~1P
81631,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
82376,IV,0,1~10,3AC~1M,3AC~1P,3RC~1M,3RC~1P
555719668,No Category,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
125920,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
125862,Ia,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555720034,No Category,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555719669,No Category,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
173565,IV,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555541361,No Category,Palearctic,30~40,1AC~1M,1AC~1P,2RC~1M,2RC~1P
103405,III,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
555564974,III,Australasia,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
173490,IV,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
151430,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555719504,No Category,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
341601,IV,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
155253,Ia,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
6927,V,Palearctic,100~1000,2AC~1M,2AC~1P,2RC~1M,2RC~1P
173477,No Category,Palearctic,<1,2AC~1M,2AC~1P,1RC~1M,1RC~1P
555641547,No Category,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
173478,No Category,Palearctic,30~40,3AC~1M,3AC~1P,1RC~1M,1RC~1P
152898,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555541368,No Category,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
153088,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
555541342,No Category,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
152880,III,Palearctic,1~10,1AC~1M,1AC~1P,3RC~1M,3RC~1P
81559,IV,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
341611,IV,Palearctic,10~20,2AC~1M,2AC~1P,1RC~1M,1RC~1P
155608,Ia,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
136138,IV,Palearctic,30~40,3AC~1M,3AC~1P,3RC~1M,3RC~1P
136110,IV,Palearctic,1~10,2AC~1M,2AC~1P,3RC~1M,3RC~1P
67246,IV,Nearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
152009,IV,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
555541367,No Category,Palearctic,1~10,3AC~1M,3AC~1P,2RC~1M,2RC~1P
152854,III,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
152842,III,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
103347,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
173489,III,Palearctic,1~10,3AC~1M,3AC~1P,1RC~1M,1RC~1P
555541316,No Category,Palearctic,10~20,3AC~1M,3AC~1P,1RC~1M,1RC~1P
134969,IV,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
136208,IV,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555624738,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
156034,V,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
341589,IV,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
341590,IV,Palearctic,10~20,3AC~1M,3AC~1P,3RC~1M,3RC~1P
18967,No Category,Palearctic,40~50,1AC~1M,1AC~1P,3RC~1M,3RC~1P
156598,Ia,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
555719971,No Category,Palearctic,1~10,1AC~1M,1AC~1P,1RC~1M,1RC~1P
152408,IV,Palearctic,<1,1AC~1M,1AC~1P,2RC~1M,2RC~1P
156388,Ia,Palearctic,1~10,1AC~1M,1AC~1P,2RC~1M,2RC~1P
156654,Ia,Palearctic,1~10,2AC~1M,2AC~1P,2RC~1M,2RC~1P
152740,III,Palearctic,<1,1AC~1M,1AC~1P,3RC~1M,3RC~1P
152853,III,Palearctic,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
156576,Ia,0,<1,2AC~1M,2AC~1P,3RC~1M,3RC~1P
334137,V,Palearctic,1~10,2AC~1M,2AC~1P,1RC~1M,1RC~1P
152063,III,Palearctic,<1,1AC~1M,1AC~1P,1RC~1M,1RC~1P
